portfolio_id,client_id,portfolio_name,portfolio_type,base_currency,risk_profile,initial_value,current_value,inception_date,status
P10050,C10044,Fixed Income Portfolio,FIXED_INCOME,GBP,LOW,2430588.11,2793648.79,2025-09-22,ACTIVE
P10051,C10001,Equity Growth Portfolio,EQUITY_GROWTH,EUR,HIGH,127554.45,142677.15,2025-01-20,ACTIVE
P10052,C10008,Income Portfolio,INCOME,INR,LOW,1736104.89,1871752.79,2025-01-25,ACTIVE
P10053,C10015,Balanced Portfolio,BALANCED,CAD,MEDIUM,740380.46,815167.47,2025-01-30,ACTIVE
P10054,C10022,Index Portfolio,INDEX,SGD,MEDIUM,367725.22,388188.52,2025-02-04,ACTIVE
P10055,C10029,Fixed Income Portfolio,FIXED_INCOME,USD,LOW,1188936.9,1390865.35,2025-02-09,ACTIVE
P10056,C10036,Equity Growth Portfolio,EQUITY_GROWTH,GBP,HIGH,2202047.06,2241564.1,2025-02-14,ACTIVE
P10057,C10043,Income Portfolio,INCOME,EUR,LOW,1301406.67,1300500.13,2025-02-19,ACTIVE
P10058,C10050,Balanced Portfolio,BALANCED,INR,MEDIUM,2290306.81,2637320.55,2025-02-24,ACTIVE
P10059,C10007,Index Portfolio,INDEX,CAD,MEDIUM,816267.5,898358.62,2025-03-01,ACTIVE
P10060,C10014,Fixed Income Portfolio,FIXED_INCOME,SGD,LOW,1561528.51,1551573.2,2025-03-06,ACTIVE
P10061,C10021,Equity Growth Portfolio,EQUITY_GROWTH,USD,HIGH,1930025.92,2081848.3,2025-03-11,ACTIVE
P10062,C10028,Income Portfolio,INCOME,GBP,LOW,1968703.55,2119659.42,2025-03-16,ACTIVE
P10063,C10035,Balanced Portfolio,BALANCED,EUR,MEDIUM,101372.55,104546.96,2025-03-21,ACTIVE
P10064,C10042,Index Portfolio,INDEX,INR,MEDIUM,146744.18,170869.17,2025-03-26,ACTIVE
P10065,C10049,Fixed Income Portfolio,FIXED_INCOME,CAD,LOW,2208932.51,2524735.68,2025-03-31,ACTIVE
P10066,C10006,Equity Growth Portfolio,EQUITY_GROWTH,SGD,HIGH,838033.9,815192.06,2025-04-05,ACTIVE
P10067,C10013,Income Portfolio,INCOME,USD,LOW,2207223.04,2578762.42,2025-04-10,ACTIVE
P10068,C10020,Balanced Portfolio,BALANCED,GBP,MEDIUM,305568.28,326016.27,2025-04-15,ACTIVE
P10069,C10027,Index Portfolio,INDEX,EUR,MEDIUM,266110.04,299994.49,2025-04-20,ACTIVE
P10070,C10034,Fixed Income Portfolio,FIXED_INCOME,INR,LOW,1938002.63,1915223.58,2025-04-25,ACTIVE
P10071,C10041,Equity Growth Portfolio,EQUITY_GROWTH,CAD,HIGH,1240677.71,1341119.0,2025-04-30,ACTIVE
P10072,C10048,Income Portfolio,INCOME,SGD,LOW,736135.91,847980.92,2025-05-05,ACTIVE
P10073,C10005,Balanced Portfolio,BALANCED,USD,MEDIUM,1115531.06,1122888.66,2025-05-10,ACTIVE
P10074,C10012,Index Portfolio,INDEX,GBP,MEDIUM,1394310.61,1562443.33,2025-05-15,ACTIVE
P10075,C10019,Fixed Income Portfolio,FIXED_INCOME,EUR,LOW,582762.55,599416.5,2025-05-20,ACTIVE
P10076,C10026,Equity Growth Portfolio,EQUITY_GROWTH,INR,HIGH,2488358.46,2744592.63,2025-05-25,ACTIVE
P10077,C10033,Income Portfolio,INCOME,CAD,LOW,1151440.2,1236493.27,2025-05-30,ACTIVE
P10078,C10040,Balanced Portfolio,BALANCED,SGD,MEDIUM,390410.07,394092.97,2025-06-04,ACTIVE
P10079,C10047,Index Portfolio,INDEX,USD,MEDIUM,911405.35,992910.43,2025-06-09,ACTIVE
P10080,C10004,Fixed Income Portfolio,FIXED_INCOME,GBP,LOW,652275.36,657785.67,2025-06-14,ACTIVE
P10081,C10011,Equity Growth Portfolio,EQUITY_GROWTH,EUR,HIGH,270383.41,297108.82,2025-06-19,ACTIVE
P10082,C10018,Income Portfolio,INCOME,INR,LOW,649460.28,752849.42,2025-06-24,ACTIVE
P10083,C10025,Balanced Portfolio,BALANCED,CAD,MEDIUM,2163124.96,2110320.09,2025-06-29,ACTIVE
P10084,C10032,Index Portfolio,INDEX,SGD,MEDIUM,671211.12,743148.25,2025-07-04,ACTIVE
P10085,C10039,Fixed Income Portfolio,FIXED_INCOME,USD,LOW,614168.34,607479.19,2025-07-09,ACTIVE
P10086,C10046,Equity Growth Portfolio,EQUITY_GROWTH,GBP,HIGH,2345234.18,2546055.36,2025-07-14,ACTIVE
P10087,C10003,Income Portfolio,INCOME,EUR,LOW,1234410.46,1398113.37,2025-07-19,ACTIVE
P10088,C10010,Balanced Portfolio,BALANCED,INR,MEDIUM,2037992.79,2041844.97,2025-07-24,ACTIVE
P10089,C10017,Index Portfolio,INDEX,CAD,MEDIUM,332633.95,350872.69,2025-07-29,ACTIVE
P10090,C10024,Fixed Income Portfolio,FIXED_INCOME,SGD,LOW,1116588.7,1186649.53,2025-08-03,ACTIVE
P10091,C10031,Equity Growth Portfolio,EQUITY_GROWTH,USD,HIGH,1849782.04,2049817.84,2025-08-08,ACTIVE
P10092,C10038,Income Portfolio,INCOME,GBP,LOW,2461996.51,2416823.63,2025-08-13,ACTIVE
P10093,C10045,Balanced Portfolio,BALANCED,EUR,MEDIUM,1066291.08,1103234.41,2025-08-18,ACTIVE
P10094,C10002,Index Portfolio,INDEX,INR,MEDIUM,2168014.09,2199893.42,2025-08-23,ACTIVE
P10095,C10009,Fixed Income Portfolio,FIXED_INCOME,CAD,LOW,556501.38,589165.22,2025-08-28,INACTIVE
P10096,C10016,Equity Growth Portfolio,EQUITY_GROWTH,SGD,HIGH,1112515.94,1136190.2,2025-09-02,INACTIVE
P10097,C10023,Income Portfolio,INCOME,USD,LOW,699535.47,813642.6,2025-09-07,INACTIVE
P10098,C10030,Balanced Portfolio,BALANCED,GBP,MEDIUM,1163513.79,1337455.38,2025-09-12,INACTIVE
P10099,C10037,Index Portfolio,INDEX,EUR,MEDIUM,1420780.75,1379762.0,2025-09-17,INACTIVE
P10100,C10044,Fixed Income Portfolio,FIXED_INCOME,INR,LOW,2498277.92,2857845.24,2025-09-22,INACTIVE
